time,speed
0.00,-0.00
0.10,-0.98
0.20,-1.96
0.30,-2.94
0.40,-3.92
0.50,-4.91
0.60,-5.89
0.70,-6.87
0.80,-7.85
0.90,-8.83
1.00,-9.81
1.10,-10.79
1.20,-11.77
1.30,-12.75
1.40,-13.73
1.50,-14.71
1.60,-15.70
1.70,-16.68
1.80,-17.66
1.90,-18.64
2.00,-19.62
2.10,-20.60
2.20,-21.58
2.30,-22.56
2.40,-23.54
2.50,-24.53
2.60,-25.51
2.70,-26.49
2.80,-27.47
2.90,-28.45
3.00,-29.43
3.10,-30.41
3.20,-31.39
3.30,-32.37
3.40,-33.35
3.50,-34.34
3.60,-35.32
3.70,-36.30
3.80,-37.28
3.90,-38.26
4.00,-39.24
4.10,-40.22
4.20,-41.20
4.30,-42.18
4.40,-43.16
4.50,-44.15
4.60,-45.13
4.70,-46.11
4.80,-47.09
4.90,-48.07
5.00,-49.05
5.10,-50.03
5.20,-51.01
5.30,-51.99
5.40,-52.97
5.50,-53.96
5.60,-54.94
5.70,-55.92
5.80,-56.90
5.90,-57.88
6.00,-58.86
6.10,-59.84
6.20,-60.82
6.30,-61.80
6.40,-62.78
6.50,-63.77
6.60,-64.75
6.70,-65.73
6.80,-66.71
6.90,-67.69
7.00,-68.67
7.10,-69.65
7.20,-70.63
7.30,-71.61
7.40,-72.59
7.50,-73.58
7.60,-74.56
7.70,-75.54
7.80,-76.52
7.90,-77.50
8.00,-78.48
8.10,-79.46
8.20,-80.44
8.30,-81.42
8.40,-82.40
8.50,-83.39
8.60,-84.37
8.70,-85.35
8.80,-86.33
8.90,-87.31
9.00,-88.29
9.10,-89.27
9.20,-90.25
9.30,-91.23
9.40,-92.21
9.50,-93.20
9.60,-94.18
9.70,-95.16
9.80,-96.14
9.90,-97.12
10.00,0.00
10.10,0.00
10.20,0.00
10.30,0.00
10.40,0.00
10.50,0.00
10.60,0.00
10.70,0.00
10.80,0.00
10.90,0.00

