# Sample x-ray diffraction data.
# It is L line (one v strong, one v.weak) on top of B-S background
# from a W anode source, obtained using a NaCl crystal.
# Angle in degree, counts /s 
13.5,938.9
13.52,912.3
13.54,897.3
13.56,880.45
13.58,867.3
13.6,853.3
13.62,833.4
13.64,835.8
13.66,820.1
13.68,805.95
13.7,798.8
13.72,800.8
13.74,804
13.76,800.4
13.78,807.2
13.8,782.5
13.82,777.35
13.84,772.9
13.86,779.8
13.88,765.5
13.9,758.5
13.92,754.65
13.94,759.1
13.96,751.45
13.98,751.35
14,749.75
14.02,742.8
14.04,744.2
14.06,735.5
14.08,747.55
14.1,738.1
14.12,733.85
14.14,744.9
14.16,734.95
14.18,728.05
14.2,725.85
14.22,732.15
14.24,731.4
14.26,741.05
14.28,731.95
14.3,743.55
14.32,750.05
14.34,750.05
14.36,744.6
14.38,751.2
14.4,748.45
14.42,746.15
14.44,759.75
14.46,754.25
14.48,763.5
14.5,753.8
14.52,754.6
14.54,746.05
14.56,750.25
14.58,736.2
14.6,738.8
14.62,732.55
14.64,739.55
14.66,748.7
14.68,749.95
14.7,801.9
14.72,863.55
14.74,944.15
14.76,1035.85
14.78,1129.85
14.8,1264.15
14.82,1412.7
14.84,1574.85
14.86,1767.05
14.88,1939.6
14.9,2200.5
14.92,2423.65
14.94,2641.25
14.96,2865
14.98,3040
15,3217.4
15.02,3387.7
15.04,3498.2
15.06,3562.6
15.08,3591.65
15.1,3598.25
15.12,3555.65
15.14,3491.85
15.16,3332.85
15.18,3159.2
15.2,2943.55
15.22,2702.4
15.24,2502.6
15.26,2298.45
15.28,2110.5
15.3,1895.8
15.32,1703.45
15.34,1533.8
15.36,1372.45
15.38,1228.3
15.4,1100.2
15.42,977.3
15.44,875.75
15.46,780.25
15.48,703
15.5,642.85
15.52,622
15.54,605.25
15.56,589.4
15.58,577.5
15.6,567
15.62,557.6
15.64,553.4
15.66,542.3
15.68,547.85
15.7,550.7
15.72,534.4
15.74,548.3
15.76,523.7
15.78,530.85
15.8,524
15.82,523.95
15.84,514.05
15.86,519.85
15.88,518.25
15.9,518.2
15.92,510.2
15.94,505.3
15.96,505.1
15.98,503
16,499
16.02,495.85
16.04,488.9
16.06,485.4
16.08,481.55
16.1,484
16.12,481.45
16.14,486.8
16.16,473.9
16.18,472.7
16.2,473.05
16.22,466.05
16.24,470.1
16.26,459.75
16.28,468.65
16.3,457.5
16.32,449.9
16.34,454.8
16.36,444.2
16.38,451.95
16.4,452.4
16.42,453.25
16.44,449.3
16.46,449.6
16.48,438.2
16.5,445.5
