# 0-35 degrees, NaCl crystal, 35keV, 1 mA, Mo anode
# angle/deg,CR /s
2,4.2
2.02,3.4
2.04,3.4
2.06,4.6
2.08,2.4
2.1,5
2.12,3
2.14,4
2.16,3.8
2.18,3.6
2.2,4.6
2.22,4
2.24,4.8
2.26,4.4
2.28,5.2
2.3,5.4
2.32,4.4
2.34,5.4
2.36,7.2
2.38,4.6
2.4,5.6
2.42,4.6
2.44,6.6
2.46,5.8
2.48,4
2.5,4.6
2.52,5.6
2.54,5
2.56,4.8
2.58,5.2
2.6,7
2.62,4.4
2.64,8.2
2.66,3.6
2.68,5.4
2.7,6.4
2.72,7.6
2.74,4.8
2.76,6.6
2.78,6.4
2.8,5.8
2.82,6.6
2.84,7
2.86,7.8
2.88,6
2.9,6.4
2.92,8.4
2.94,8.6
2.96,7.8
2.98,7.8
3,12.6
3.02,11
3.04,13.6
3.06,12.8
3.08,12
3.1,13.2
3.12,17.2
3.14,21.2
3.16,20.6
3.18,18.2
3.2,28.2
3.22,32
3.24,34.8
3.26,40.2
3.28,46.2
3.3,51.8
3.32,56.2
3.34,69.6
3.36,75.2
3.38,92
3.4,100.8
3.42,106.4
3.44,132
3.46,143.2
3.48,149
3.5,178.6
3.52,191.6
3.54,214.8
3.56,232.6
3.58,259.2
3.6,270
3.62,280.4
3.64,296.8
3.66,307.8
3.68,323.2
3.7,331
3.72,356.4
3.74,351.6
3.76,350.6
3.78,373.4
3.8,387
3.82,407.4
3.84,396.6
3.86,407.4
3.88,406.4
3.9,413.2
3.92,440.4
3.94,452
3.96,439.2
3.98,460.8
4,444.8
4.02,462.8
4.04,467
4.06,472.4
4.08,477.6
4.1,498.2
4.12,489
4.14,478.4
4.16,495.4
4.18,499
4.2,499.6
4.22,515.4
4.24,492.8
4.26,501.6
4.28,510.4
4.3,500.2
4.32,499
4.34,503.2
4.36,522
4.38,514
4.4,513
4.42,519.2
4.44,530.2
4.46,509.6
4.48,526.6
4.5,530.4
4.52,510.4
4.54,529.4
4.56,529.6
4.58,513.4
4.6,513
4.62,531.4
4.64,511.2
4.66,525.8
4.68,528
4.7,517
4.72,525.8
4.74,517.4
4.76,517.4
4.78,506
4.8,524.8
4.82,520.2
4.84,518.2
4.86,519.8
4.88,514
4.9,503.2
4.92,513.6
4.94,516.6
4.96,515.4
4.98,520.4
5,490.8
5.02,524.2
5.04,488.4
5.06,508.4
5.08,501.6
5.1,481.8
5.12,503
5.14,509.2
5.16,519
5.18,485.6
5.2,496
5.22,496.2
5.24,506.2
5.26,488.2
5.28,498.8
5.3,484.2
5.32,479.6
5.34,473.6
5.36,468
5.38,497.2
5.4,492
5.42,490.4
5.46,463.6
5.5,460.4
5.54,457.8
5.58,448.8
5.62,450.2
5.66,456.8
5.7,442.6
5.74,440.4
5.78,436.2
5.82,444.8
5.86,441
5.9,448.2
5.94,441.6
5.98,438.6
6.02,434.8
6.04,465.4
6.06,468.8
6.08,468.2
6.1,465.6
6.12,491.4
6.14,511.6
6.16,527.6
6.18,533.8
6.2,584.4
6.22,613.2
6.24,645.8
6.26,695.2
6.28,723
6.3,789.8
6.32,831.6
6.34,853.6
6.36,921.8
6.38,941.8
6.4,956.4
6.42,929.8
6.44,920.8
6.46,881.2
6.48,860.6
6.5,808.6
6.52,765.4
6.54,713.6
6.56,645.6
6.58,621.6
6.6,584.2
6.62,549.2
6.64,525.2
6.66,522.6
6.68,510.6
6.7,511.8
6.72,494
6.74,516.8
6.76,498.4
6.78,529.4
6.8,531.8
6.82,527
6.84,543.6
6.86,584.4
6.88,614.4
6.9,631.8
6.92,671.2
6.94,718.4
6.96,768.8
6.98,854.8
7,930.2
7.02,1045.6
7.04,1183
