# position count sigma_count
0.000000000000000000e+00 9.860659363912120945e-01 1.500000000000000000e+00
1.005025125628140753e-01 1.827128077699982978e+00 1.500000000000000000e+00
2.010050251256281506e-01 1.228013259858078410e+00 1.500000000000000000e+00
3.015075376884422398e-01 4.272353790100910653e-01 1.500000000000000000e+00
4.020100502512563012e-01 -2.838016310657341279e+00 1.500000000000000000e+00
5.025125628140704181e-01 1.379975395563739715e+00 1.500000000000000000e+00
6.030150753768844796e-01 3.812210767285338253e+00 1.500000000000000000e+00
7.035175879396985410e-01 5.976137766674189500e+00 1.500000000000000000e+00
8.040201005025126024e-01 -4.283577375261982567e+00 1.500000000000000000e+00
9.045226130653266639e-01 2.359419606350765530e-01 1.500000000000000000e+00
1.005025125628140836e+00 -3.287997925459640314e-02 1.500000000000000000e+00
1.105527638190954898e+00 -3.826556078573639663e-02 1.500000000000000000e+00
1.206030150753768959e+00 1.942379617104906586e+00 1.500000000000000000e+00
1.306532663316583021e+00 7.626542339277921911e-01 1.500000000000000000e+00
1.407035175879397082e+00 1.216211204509487054e+00 1.500000000000000000e+00
1.507537688442211143e+00 -5.113357663354187732e-01 1.500000000000000000e+00
1.608040201005025205e+00 -2.507731454040551533e-01 1.500000000000000000e+00
1.708542713567839266e+00 -1.510207988799853185e-01 1.500000000000000000e+00
1.809045226130653328e+00 3.294723531440308495e+00 1.500000000000000000e+00
1.909547738693467389e+00 1.853691546997899620e+00 1.500000000000000000e+00
2.010050251256281673e+00 7.692162474696506713e-03 1.500000000000000000e+00
2.110552763819095734e+00 3.290307802077752086e-01 1.500000000000000000e+00
2.211055276381909795e+00 2.198581124540376130e+00 1.500000000000000000e+00
2.311557788944723857e+00 7.418471734030817055e-01 1.500000000000000000e+00
2.412060301507537918e+00 -2.402864150268557708e-02 1.500000000000000000e+00
2.512562814070351980e+00 2.195242683982679299e+00 1.500000000000000000e+00
2.613065326633166041e+00 4.722676851571332435e-01 1.500000000000000000e+00
2.713567839195980103e+00 9.122536467370462310e-01 1.500000000000000000e+00
2.814070351758794164e+00 -8.737413409656080709e-02 1.500000000000000000e+00
2.914572864321608225e+00 7.192294205875259250e-01 1.500000000000000000e+00
3.015075376884422287e+00 2.034867898898116145e+00 1.500000000000000000e+00
3.115577889447236348e+00 -2.238562766601179366e+00 1.500000000000000000e+00
3.216080402010050410e+00 2.957526591940762728e+00 1.500000000000000000e+00
3.316582914572864471e+00 -2.184916806746305618e+00 1.500000000000000000e+00
3.417085427135678533e+00 -1.308640220378394670e+00 1.500000000000000000e+00
3.517587939698492594e+00 -3.026115245147120714e-01 1.500000000000000000e+00
3.618090452261306655e+00 1.736438197254540405e+00 1.500000000000000000e+00
3.718592964824120717e+00 2.069376320583836915e+00 1.500000000000000000e+00
3.819095477386934778e+00 -1.686007230020392100e-02 1.500000000000000222e+00
3.919597989949748840e+00 1.194038137361808749e+00 1.500000000000000888e+00
4.020100502512563345e+00 5.552394198144936510e-01 1.500000000000002887e+00
4.120603015075377407e+00 1.401708205974048216e+00 1.500000000000009770e+00
4.221105527638191468e+00 1.434665869691838846e+00 1.500000000000031308e+00
4.321608040201005529e+00 1.902438927158467852e+00 1.500000000000099254e+00
4.422110552763819591e+00 1.120068061767710788e+00 1.500000000000307532e+00
4.522613065326633652e+00 2.854164853605541730e+00 1.500000000000934142e+00
4.623115577889447714e+00 2.783220250821694108e+00 1.500000000002780665e+00
4.723618090452261775e+00 4.447745121498267729e+00 1.500000000008112400e+00
4.824120603015075837e+00 1.968039299581017421e+00 1.500000000023193669e+00
4.924623115577889898e+00 7.587001191550811763e-01 1.500000000064984906e+00
5.025125628140703959e+00 2.127516532238127311e+00 1.500000000178436155e+00
5.125628140703518021e+00 -2.054572249424432506e+00 1.500000000480153250e+00
5.226130653266332082e+00 -2.209684819167773817e+00 1.500000001266202698e+00
5.326633165829146144e+00 -4.720422550545133600e-01 1.500000003272300875e+00
5.427135678391960205e+00 3.731106498753538059e-01 1.500000008287619924e+00
5.527638190954774267e+00 3.524929760264737588e+00 1.500000020569939752e+00
5.628140703517588328e+00 6.735469355877166109e-02 1.500000050033722276e+00
5.728643216080402389e+00 -4.964810215324162446e-01 1.500000119266699183e+00
5.829145728643216451e+00 2.290302822410922978e+00 1.500000278613516702e+00
5.929648241206030512e+00 2.760900342758021875e+00 1.500000637840013695e+00
6.030150753768844574e+00 2.792936532217392909e+00 1.500001431027350396e+00
6.130653266331658635e+00 2.602576206815114368e+00 1.500003146376601704e+00
6.231155778894472697e+00 1.768562918170693887e+00 1.500006779537525148e+00
6.331658291457286758e+00 3.522585111680653469e+00 1.500014315813426702e+00
6.432160804020100819e+00 4.950796569844825967e+00 1.500029625015497858e+00
6.532663316582914881e+00 1.718895460802609909e+00 1.500060079697638216e+00
6.633165829145728942e+00 3.995694652851004669e+00 1.500119405267562822e+00
6.733668341708543004e+00 2.673619832498980387e+00 1.500232565789130224e+00
6.834170854271357065e+00 -8.404351648034902311e-02 1.500443909836566059e+00
6.934673366834171127e+00 2.250494311126696623e+00 1.500830367424504486e+00
7.035175879396985188e+00 4.888755066995280174e+00 1.501522202510133575e+00
7.135678391959799249e+00 3.076155305598438527e+00 1.502734646282942510e+00
7.236180904522613311e+00 2.725699062755008839e+00 1.504814558649404832e+00
7.336683417085427372e+00 4.051841419327779192e+00 1.508306888838891302e+00
7.437185929648241434e+00 2.955789241403487200e+00 1.514045813962613840e+00
7.537688442211055495e+00 3.288399406026757177e+00 1.523274588994873557e+00
7.638190954773869557e+00 3.818416878844460349e+00 1.537795815894009710e+00
7.738693467336683618e+00 4.635093640200874887e+00 1.560149500449690141e+00
7.839195979899497679e+00 1.759082001179865795e+00 1.593809521434743193e+00
7.939698492462311741e+00 9.862755489570360634e-01 1.643379945743496329e+00
8.040201005025126690e+00 2.768541531612006334e+00 1.714761534619728245e+00
8.140703517587940752e+00 1.243038671116166283e+00 1.815247158860416654e+00
8.241206030150754813e+00 5.294621120987619278e+00 1.953494954406534534e+00
8.341708542713568875e+00 1.087600118545150485e+00 2.139323006835525565e+00
8.442211055276382936e+00 3.189839549637293104e+00 2.383272690483862366e+00
8.542713567839196998e+00 9.484154335026817595e-01 2.695902759711604091e+00
8.643216080402011059e+00 7.561195460230049292e+00 3.086804885536738485e+00
8.743718592964825120e+00 5.322410419513501800e+00 3.563373200007760921e+00
8.844221105527639182e+00 9.185415558543555292e+00 4.129411981692801881e+00
8.944723618090453243e+00 1.775870108281476956e+00 4.783719752731039776e+00
9.045226130653267305e+00 1.116642777605603598e+01 5.518834565046462970e+00
9.145728643216081366e+00 -1.815191260060564193e+00 6.320152381455353741e+00
9.246231155778895427e+00 1.214578311675076350e+01 7.165627308825076369e+00
9.346733668341709489e+00 1.461467803360912043e+01 8.026221853474407197e+00
9.447236180904523550e+00 -1.712748788461439187e+00 8.867196595381981794e+00
9.547738693467337612e+00 1.713400480896376621e+01 9.650219045233900061e+00
9.648241206030151673e+00 -9.008712447553022251e-01 1.033614631035942466e+01
9.748743718592965735e+00 -2.172685883494989589e+00 1.088821682830373661e+01
9.849246231155779796e+00 -2.481229074296758430e+00 1.127529607263461919e+01
9.949748743718593857e+00 -3.375383015102116691e+00 1.147477996849287862e+01
1.005025125628140792e+01 6.920341155822065105e+00 1.147477996849287685e+01
1.015075376884422198e+01 -1.721832897654257177e+00 1.127529607263461386e+01
1.025125628140703604e+01 2.516324163538650538e+01 1.088821682830372772e+01
1.035175879396985010e+01 -1.063112544113579183e+01 1.033614631035941223e+01
1.045226130653266416e+01 8.221472792568320642e-01 9.650219045233887627e+00
1.055276381909547823e+01 -9.566618418467353280e+00 8.867196595381967583e+00
1.065326633165829229e+01 -2.050860166351861302e+00 8.026221853474392987e+00
1.075376884422110635e+01 -2.021493495085497916e+00 7.165627308825060382e+00
1.085427135678392041e+01 -9.440783096355460202e+00 6.320152381455339530e+00
1.095477386934673447e+01 4.075408041457328601e+00 5.518834565046449647e+00
1.105527638190954853e+01 1.261775269067374250e+00 4.783719752731027341e+00
1.115577889447236259e+01 -2.389901474334753306e+00 4.129411981692790334e+00
