# time_(s) undecayed_nuclei
0.000000000000000000e+00 1.090000000000000000e+02
1.632653061224489666e-01 1.250000000000000000e+02
3.265306122448979331e-01 6.100000000000000000e+01
4.897959183673469274e-01 9.500000000000000000e+01
6.530612244897958663e-01 1.040000000000000000e+02
8.163265306122448051e-01 9.000000000000000000e+01
9.795918367346938549e-01 6.500000000000000000e+01
1.142857142857142794e+00 7.200000000000000000e+01
1.306122448979591733e+00 5.800000000000000000e+01
1.469387755102040671e+00 5.900000000000000000e+01
1.632653061224489610e+00 4.700000000000000000e+01
1.795918367346938549e+00 6.500000000000000000e+01
1.959183673469387710e+00 5.600000000000000000e+01
2.122448979591836427e+00 5.800000000000000000e+01
2.285714285714285587e+00 4.500000000000000000e+01
2.448979591836734304e+00 4.900000000000000000e+01
2.612244897959183465e+00 4.000000000000000000e+01
2.775510204081632626e+00 3.900000000000000000e+01
2.938775510204081343e+00 4.800000000000000000e+01
3.102040816326530503e+00 4.600000000000000000e+01
3.265306122448979220e+00 4.400000000000000000e+01
3.428571428571428381e+00 3.000000000000000000e+01
3.591836734693877098e+00 2.500000000000000000e+01
3.755102040816326259e+00 3.400000000000000000e+01
3.918367346938775420e+00 2.800000000000000000e+01
4.081632653061224580e+00 3.200000000000000000e+01
4.244897959183672853e+00 2.300000000000000000e+01
4.408163265306122014e+00 2.300000000000000000e+01
4.571428571428571175e+00 2.200000000000000000e+01
4.734693877551020336e+00 2.100000000000000000e+01
4.897959183673468608e+00 3.000000000000000000e+01
5.061224489795917769e+00 2.300000000000000000e+01
5.224489795918366930e+00 1.700000000000000000e+01
5.387755102040816091e+00 2.000000000000000000e+01
5.551020408163265252e+00 1.800000000000000000e+01
5.714285714285713524e+00 2.000000000000000000e+01
5.877551020408162685e+00 2.000000000000000000e+01
6.040816326530611846e+00 1.500000000000000000e+01
6.204081632653061007e+00 1.500000000000000000e+01
6.367346938775509280e+00 2.000000000000000000e+01
6.530612244897958441e+00 1.200000000000000000e+01
6.693877551020407601e+00 1.500000000000000000e+01
6.857142857142856762e+00 6.000000000000000000e+00
7.020408163265305923e+00 1.300000000000000000e+01
7.183673469387754196e+00 1.000000000000000000e+01
7.346938775510203357e+00 1.400000000000000000e+01
7.510204081632652517e+00 1.300000000000000000e+01
7.673469387755101678e+00 8.000000000000000000e+00
7.836734693877550839e+00 7.000000000000000000e+00
8.000000000000000000e+00 7.000000000000000000e+00
